municipality_name,municipality_code,municipality_name_machine_friendly,region_id,region_name
Goes,GM0664,Goes,RE08,Zeeland-West-Brabant
Goirle,GM0785,Goirle,RE08,Zeeland-West-Brabant
Gooise Meren,GM1942,GooiseMeren,RE03,Midden-Nederland
Gorinchem,GM0512,Gorinchem,RE07,Rotterdam
Gouda,GM0513,Gouda,RE06,DenHaag
Grave,GM0786,Grave,RE09,Oost-Brabant
's-Gravenhage (gemeente),GM0518,'s-Gravenhage,RE06,DenHaag
Groningen (gemeente),GM0014,Groningen,RE01,Noord-Nederland
Gulpen-Wittem,GM1729,Gulpen-Wittem,RE10,Limburg
Haaksbergen,GM0158,Haaksbergen,RE02,Oost-Nederland
Haarlem,GM0392,Haarlem,RE04,Noord-Holland
Haarlemmermeer,GM0394,Haarlemmermeer,RE04,Noord-Holland
Halderberge,GM1655,Halderberge,RE08,Zeeland-West-Brabant
Hardenberg,GM0160,Hardenberg,RE02,Oost-Nederland
Harderwijk,GM0243,Harderwijk,RE02,Oost-Nederland
Hardinxveld-Giessendam,GM0523,Hardinxveld-Giessendam,RE07,Rotterdam
Harlingen,GM0072,Harlingen,RE01,Noord-Nederland
Hattem,GM0244,Hattem,RE02,Oost-Nederland
Heemskerk,GM0396,Heemskerk,RE04,Noord-Holland
Heemstede,GM0397,Heemstede,RE04,Noord-Holland
Heerde,GM0246,Heerde,RE02,Oost-Nederland
Heerenveen,GM0074,Heerenveen,RE01,Noord-Nederland
Heerhugowaard,GM0398,Heerhugowaard,RE04,Noord-Holland
Heerlen,GM0917,Heerlen,RE10,Limburg
Heeze-Leende,GM1658,Heeze-Leende,RE09,Oost-Brabant
Heiloo,GM0399,Heiloo,RE04,Noord-Holland
Den Helder,GM0400,DenHelder,RE04,Noord-Holland
Hellendoorn,GM0163,Hellendoorn,RE02,Oost-Nederland
Hellevoetsluis,GM0530,Hellevoetsluis,RE07,Rotterdam
Helmond,GM0794,Helmond,RE09,Oost-Brabant
Hendrik-Ido-Ambacht,GM0531,Hendrik-Ido-Ambacht,RE07,Rotterdam
Hengelo (O.),GM0164,Hengelo,RE02,Oost-Nederland
's-Hertogenbosch,GM0796,'s-Hertogenbosch,RE09,Oost-Brabant
Heumen,GM0252,Heumen,RE02,Oost-Nederland
Heusden,GM0797,Heusden,RE09,Oost-Brabant
Hillegom,GM0534,Hillegom,RE06,DenHaag
Hilvarenbeek,GM0798,Hilvarenbeek,RE08,Zeeland-West-Brabant
Hilversum,GM0402,Hilversum,RE03,Midden-Nederland
Hoeksche Waard,GM1963,HoekscheWaard,RE07,Rotterdam
Hof van Twente,GM1735,HofvanTwente,RE02,Oost-Nederland
Het Hogeland,GM1966,HetHogeland,RE01,Noord-Nederland
Hollands Kroon,GM1911,HollandsKroon,RE04,Noord-Holland
Hoogeveen,GM0118,Hoogeveen,RE01,Noord-Nederland
Hoorn,GM0405,Hoorn,RE04,Noord-Holland
Horst aan de Maas,GM1507,HorstaandeMaas,RE10,Limburg
Houten,GM0321,Houten,RE03,Midden-Nederland
Huizen,GM0406,Huizen,RE03,Midden-Nederland
Hulst,GM0677,Hulst,RE08,Zeeland-West-Brabant
IJsselstein,GM0353,IJsselstein,RE03,Midden-Nederland
Kaag en Braassem,GM1884,KaagenBraassem,RE06,DenHaag
Kampen,GM0166,Kampen,RE02,Oost-Nederland
